submission_id,department,dataset_title,issues
META-002,Basic Education Department,School Enrollment Data DISE,Missing data owner name
META-003,Basic Education Department,Mid-Day Meal Attendance,Description is blank; Record count is blank (dataset is not a live API)
META-005,Health Department,Patient Admission Records District Hospitals,DPDP inconsistency: personal data marked Yes but classification is not Restricted/Confidential
META-007,Agriculture Department,Farmer Registration PM-KISAN,Data classification is blank; DPDP inconsistency: personal data marked Yes but classification is not Restricted/Confidential
META-009,Urban Development Department,Building Permit Applications,Record count is blank (dataset is not a live API)
META-010,Energy Department,UPPCL Consumer Billing Data,Missing data owner name; last_updated date format invalid: '30-11-2024' (expected YYYY-MM-DD)
META-013,Home Department,FIR and Crime Statistics,Missing data owner name
META-015,Women & Child Development,Anganwadi Beneficiary Data,DPDP inconsistency: personal data marked Yes but classification is not Restricted/Confidential; submitted_on date format invalid: '04/13/2026' (expected YYYY-MM-DD)
META-018,Transport Department,Driving Licence Records SARATHI,Description is blank
META-020,Food & Civil Supplies,PDS Beneficiary Records,Data classification is blank; DPDP inconsistency: personal data marked Yes but classification is not Restricted/Confidential
META-024,Labour Department,Contract Labour Registration,Missing data owner name
